ID,Prediction
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,0
144,1
145,1
146,0
147,1
148,0
149,1
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,0
191,0
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,0
214,1
215,0
216,1
217,0
218,0
219,1
220,1
221,0
222,1
223,1
224,1
225,0
226,1
227,0
228,1
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,1
251,0
252,1
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,1
288,1
289,1
290,1
291,1
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,0
310,1
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,1
326,1
327,1
328,0
329,1
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,0
347,1
348,0
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,1
362,1
363,0
364,1
365,0
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,0
375,1
376,1
377,1
378,0
379,1
380,0
381,1
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,0
403,0
404,1
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,0
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,0
436,1
437,1
438,1
439,1
440,0
441,0
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,1
453,1
454,1
455,0
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,0
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,0
486,0
487,1
488,0
489,0
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,0
498,0
499,1
500,0
501,1
502,0
503,0
504,0
505,1
506,1
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,0
529,0
530,1
531,1
532,1
533,1
534,1
535,1
536,0
537,1
538,1
539,1
540,0
541,0
542,1
543,1
544,1
545,0
546,0
547,1
548,1
549,1
550,1
551,1
552,0
553,0
554,0
555,1
556,1
557,1
558,1
559,0
560,1
561,1
562,1
563,0
564,0
565,1
566,0
567,1
568,0
569,0
570,1
571,0
572,0
573,1
574,0
575,1
576,0
577,1
578,0
579,1
580,1
581,1
582,1
583,1
584,1
585,0
586,1
587,1
588,0
589,0
590,0
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,0
599,0
600,1
601,0
